idtrip,date,cityid,passengertype,distance_km,fareamount,passengerrating,driverrating,pickuptime
126,2024-01-06,9,new,11.7,66.82,3.3,4.2,12:48:18
127,2024-01-02,5,old,31.7,36.12,3.4,4.3,11:27:11
128,2024-02-15,9,new,23.7,15,4.3,4.6,10:13:30
129,2024-01-29,19,old,11.5,30.78,4,4.5,4:25:30
130,2024-02-20,5,old,18,50.62,3.4,4.6,11:50:31
131,2024-01-27,16,old,10.4,62.53,3.3,3.9,11:22:11
132,2024-01-02,19,new,30.3,44.15,4.5,5,0:05:56
133,2024-02-28,5,old,22,46.42,4.7,3.6,19:47:07
134,2024-02-17,16,old,16.7,42,3.7,3.9,15:23:33
135,2024-01-05,17,old,4.6,25.15,4,4.4,1:21:57
136,2024-01-24,7,old,27.5,81.25,4,4.4,14:23:18
137,2024-02-09,20,new,8.8,54.87,3,3.6,15:19:27
138,2024-02-16,5,old,32.5,85.22,4.3,4.8,13:45:30
139,2024-02-11,15,old,12.1,33.31,4.2,3.8,2:39:15
140,2024-02-11,7,old,13.2,34.45,3.1,4.6,22:34:49
141,2024-02-08,9,old,20.5,59.81,4.2,3.8,11:23:29
142,2024-01-12,1,old,24.2,29.03,3.8,3.8,4:59:32
143,2024-01-08,16,new,24.1,88.27,4.4,4.4,11:16:09
144,2024-01-31,18,new,10.9,47.76,4.6,4.9,5:13:10
145,2024-01-03,9,new,5,57.84,3.7,4.2,20:51:20
146,2024-02-07,4,new,2.3,33.92,4.9,4.6,11:45:20
147,2024-02-14,7,new,15.1,39.44,3,5,10:59:11
148,2024-02-11,14,new,16.6,56.61,3.7,4.4,5:54:13
149,2024-02-18,9,old,8.9,53.15,3.7,4.7,19:10:12
150,2024-01-19,7,new,16.9,11.45,4.1,4.2,0:36:08
151,2024-01-30,7,old,19.5,16.63,3.7,4.3,18:18:42
152,2024-02-17,19,old,12.9,24.66,4.4,4.6,22:06:36
153,2024-02-28,7,new,24.3,58.99,4,4.2,21:32:01
154,2024-02-12,6,new,6.5,81.61,4.7,3.6,15:58:37
155,2024-02-28,17,new,12.6,40.48,3,4.4,20:58:24
156,2024-01-29,18,new,20.4,75.66,3.9,4.9,5:15:48
157,2024-02-13,5,old,11,6.06,4.2,4,17:55:30
158,2024-01-22,5,new,12.9,42.12,4.6,4.3,3:27:51
159,2024-01-07,7,old,30.1,28.18,4.2,3.5,23:17:09
160,2024-01-13,9,old,14.3,71.23,4.2,3.8,23:07:35
161,2024-01-21,20,old,18.7,46.53,4.4,3.8,19:02:26
162,2024-01-02,10,new,10.3,48.38,3.9,3.9,10:10:17
163,2024-01-24,6,old,25.5,49.89,3.8,4.7,10:19:04
164,2024-02-14,8,new,5.8,9.3,3.1,4.4,15:35:11
165,2024-02-14,4,old,5.1,5.6,3.9,3.7,15:51:15
166,2024-02-08,2,new,19.9,86.11,4.4,4.5,11:57:59
167,2024-01-09,13,new,25.6,13.1,4.8,4.4,10:35:24
168,2024-01-24,3,old,20.4,67.19,4.1,3.6,14:54:40
169,2024-02-05,11,old,14.2,34.11,4.2,4.2,19:55:29
170,2024-01-23,17,new,27.7,89.58,4.4,4.8,14:37:49
171,2024-01-03,7,old,22.8,87.54,3.8,4.5,17:25:50
172,2024-01-28,20,new,3,81.9,4.7,4.4,11:52:56
173,2024-01-21,18,old,2.4,29.8,3.2,4.2,15:23:04
174,2024-02-24,17,new,29.3,34.59,3.7,4.4,21:56:55
175,2024-01-25,2,old,3.3,50.2,4.3,3.9,2:49:09
176,2024-01-27,9,new,3.7,38.8,4,4,5:52:37
177,2024-01-05,1,new,25.6,51.67,4.7,4.5,2:36:06
178,2024-02-13,19,new,12.6,78.16,3.9,4.5,11:00:07
179,2024-02-28,15,old,7.2,22.34,3.6,4.2,16:59:50
180,2024-01-11,2,old,17.5,17.99,4.3,3.5,0:09:32
181,2024-02-08,10,old,8.2,89.14,4.4,4.1,8:35:12
182,2024-02-21,7,new,20.6,76.02,4.5,3.6,0:14:33
183,2024-02-24,5,old,30.5,57.17,4.1,3.7,4:43:16
184,2024-02-12,13,new,9,44.14,4,4.6,19:53:17
185,2024-02-18,15,new,13.2,71.45,3.5,3.8,22:53:10
186,2024-01-03,20,new,28.9,60.14,3.1,4.2,20:17:26
187,2024-01-01,7,new,1.6,24.59,3.1,4.1,21:39:25
188,2024-02-14,19,old,31,14.78,3.3,3.7,15:14:58
189,2024-02-04,9,new,6.3,14.44,3.7,4.7,18:37:59
190,2024-02-15,16,new,8.2,82.84,3.7,4.9,14:30:07
191,2024-02-09,6,new,32.1,76.81,3.4,3.8,12:27:33
192,2024-01-30,3,new,27.7,56.38,4.6,4.6,20:08:52
193,2024-01-12,12,new,27,20.55,3.1,4.6,22:16:11
194,2024-01-06,6,new,27,44.46,3.2,4,12:57:59
195,2024-02-26,15,old,20.4,23.27,3,4.1,1:12:40
196,2024-01-01,6,new,6.6,6.35,3.1,4.3,20:53:13
197,2024-02-26,5,new,21,14.16,4.2,5,13:16:44
198,2024-02-15,8,new,34,34.09,3.3,4.7,6:56:44
199,2024-01-05,20,old,17.1,50.37,4.6,4.4,12:39:16
200,2024-02-12,13,old,23.2,37.64,4.3,3.5,19:24:17
201,2024-01-17,15,new,34.5,84.82,3.2,4.8,21:03:13
202,2024-02-10,14,old,12.1,13.06,3.3,4.5,19:13:02
203,2024-01-05,3,old,17.9,72.62,3.4,5,15:39:51
204,2024-02-04,2,old,25.6,63.98,4.1,4.2,12:04:31
205,2024-02-14,13,old,16.1,74.01,4.7,3.9,17:43:11
206,2024-02-02,3,new,25.2,5.47,4.3,4.8,11:32:34
207,2024-01-20,12,old,33.1,84.63,3.2,4,17:36:19
208,2024-01-03,16,old,24.4,86.05,4.2,4.3,4:16:19
209,2024-02-06,1,new,12.5,72.77,4.4,4.9,10:48:17
210,2024-01-22,16,new,25.8,7.31,3.7,3.8,8:03:55
211,2024-02-24,14,old,22.4,61.28,3.6,3.7,15:54:04
212,2024-01-10,17,new,14.9,18.89,3.8,4.6,20:39:17
213,2024-01-24,19,old,17.8,20.61,4.7,4.6,10:21:33
214,2024-01-03,2,new,6.8,47.8,4.5,4.6,3:00:15
215,2024-02-23,7,new,25,28.02,3.7,4.8,20:45:55
216,2024-01-15,7,new,1.8,68.25,4.3,3.6,4:30:14
217,2024-01-06,12,old,6.6,35.53,4.3,3.6,16:18:36
218,2024-01-13,11,old,23.4,15.95,3.5,3.8,14:38:16
219,2024-02-08,15,new,14.4,86.06,4.1,4.8,6:29:04
220,2024-01-23,2,old,20.4,17.9,3.7,4.4,17:45:44
221,2024-01-27,4,old,33.9,89.19,3.7,4.4,0:13:53
222,2024-02-13,16,old,1.1,12.43,4.6,4.7,6:56:21
223,2024-02-11,18,old,31,24,4.4,3.6,23:01:21
224,2024-01-26,8,old,13.5,80.48,4.5,3.9,9:56:21
225,2024-01-09,12,new,23.5,71.8,4.8,3.8,2:17:30
226,2024-01-22,11,new,6,17.23,3.1,4.8,5:52:59
227,2024-01-23,19,new,9.7,59.95,4,3.5,23:07:33
228,2024-01-06,11,old,13,86.78,4.2,3.7,8:39:28
229,2024-01-04,6,old,30,72.27,4,4.6,2:16:03
230,2024-01-28,20,new,28.3,51.01,3.7,4.3,11:55:07
231,2024-01-06,12,new,12.4,27.42,4.1,4.6,11:16:21
232,2024-02-26,10,old,13.2,41.97,3.8,4.4,10:16:36
233,2024-02-14,1,old,11.4,71.97,4.6,4.4,9:19:12
234,2024-02-28,15,old,7.7,10.02,4.9,4.7,17:36:47
235,2024-01-10,3,new,12.7,18.27,3.5,4.7,4:11:07
236,2024-01-26,11,new,25.5,16.92,3.8,5,3:38:02
237,2024-02-11,12,new,20.3,51.37,4.4,3.8,7:51:59
238,2024-01-10,9,new,31.8,9.1,4.7,4,3:06:52
239,2024-02-28,20,old,13.8,72.82,3.1,4.4,16:50:03
240,2024-02-11,4,old,34.3,6.96,3.8,4.1,14:15:27
241,2024-02-14,2,old,19.5,47.42,4.9,4.9,8:18:04
242,2024-01-07,12,old,9.3,70.09,4.9,4.3,6:43:30
243,2024-01-12,17,new,9.3,25.19,3.8,4.3,10:55:04
244,2024-02-22,2,new,7.5,67.73,3.5,4.2,17:37:26
245,2024-01-10,10,new,32.1,55.36,4.1,4.4,17:44:14
246,2024-01-21,12,old,20.7,53.84,3.3,3.6,1:17:28
247,2024-02-13,14,new,2.9,38.28,3.7,4.4,2:52:03
248,2024-01-25,3,new,6.7,31.74,3.8,4.7,19:52:34
249,2024-01-21,1,old,11.2,42.68,4.4,4.2,9:11:38
250,2024-01-09,4,new,14,69.77,4.3,3.8,8:25:39
251,2024-01-04,19,old,30.2,6.71,3.1,3.6,18:28:45
252,2024-02-14,5,old,4.5,37.19,4.9,3.9,2:15:33
253,2024-02-05,5,new,18.2,73.84,3.8,3.6,18:21:17
254,2024-02-05,10,new,30.2,62.5,4.3,4.6,11:15:11
255,2024-01-29,20,new,12.5,12.11,3.7,4,17:13:27
256,2024-02-29,18,old,30.1,32.52,4.2,4.9,23:45:31
257,2024-01-24,20,new,14.2,37.65,3.9,4.4,23:08:25
258,2024-01-09,11,old,8.7,89.66,4.4,3.9,11:56:01
259,2024-02-26,5,new,3.8,58.82,3.4,3.8,23:54:32
260,2024-01-04,1,new,27.9,65.04,3.1,4.5,5:20:29
261,2024-02-14,7,new,7.9,64.6,3.7,4.4,18:18:15
262,2024-02-17,11,old,1.7,65.54,3.4,4.1,23:42:50
263,2024-01-21,3,old,9,55.07,4.8,5,15:52:15
264,2024-02-13,12,old,2.6,19.77,3.1,3.8,8:54:04
265,2024-02-23,14,old,3.5,5.62,5,3.8,16:37:18
266,2024-01-04,13,new,24.8,51.36,3.8,4.4,5:09:00
267,2024-02-20,7,new,17.3,25.42,3.4,4.9,1:03:02
268,2024-01-10,8,new,10.3,68.45,4.2,4.4,15:18:09
269,2024-02-14,2,old,25.9,61.51,4.3,4.3,22:15:08
270,2024-02-19,13,old,30.4,41.2,4.3,4.5,18:31:41
271,2024-02-19,12,old,16.7,10.94,3.6,3.5,21:17:20
272,2024-01-08,8,old,29.4,36.46,4,3.7,20:23:46
273,2024-01-06,19,new,17.6,43.18,4.8,4.1,16:58:22
274,2024-01-13,13,old,17.7,9.24,3.7,3.7,4:42:15
275,2024-01-13,18,old,24.7,83.1,4.1,3.7,10:13:20
276,2024-02-20,13,old,23.5,88.39,4.5,4.8,22:21:34
277,2024-01-21,8,new,18.1,87.01,3.5,4.2,21:49:44
278,2024-02-26,5,old,29.5,77.5,4.1,4,7:28:15
279,2024-02-04,14,old,12,59.84,3.3,4.5,16:07:34
280,2024-02-01,2,new,27.1,6.73,4.7,4.8,7:30:11
281,2024-01-07,7,new,4.9,84.63,3.3,3.5,13:52:27
282,2024-02-18,18,new,10.4,11.23,4.9,4.8,10:34:41
283,2024-02-02,20,new,8.5,51.09,3.9,5,22:09:39
284,2024-01-28,6,old,13,6.23,3.9,4.2,1:04:10
285,2024-02-15,3,new,26.9,38.57,3.7,3.9,11:29:26
286,2024-02-24,1,new,34.4,24.8,4.3,5,7:04:52
287,2024-01-21,5,old,2.6,73.46,4.9,5,6:40:45
288,2024-01-26,16,new,21.3,36.43,4.6,4.8,14:33:42
289,2024-02-02,20,old,7.2,50.74,4.8,3.7,10:55:07
290,2024-01-09,3,new,31.6,80.14,5,4.5,9:37:55
291,2024-01-13,2,old,15,12.48,3.7,3.7,8:50:06
292,2024-01-17,20,old,12.7,88.83,4.4,4.2,13:41:05
293,2024-02-03,5,new,10.1,34.98,3.7,4.4,14:55:37
294,2024-02-18,1,new,10.2,77.33,3.1,4.2,12:03:00
295,2024-01-21,13,old,28,54.84,3.4,3.6,0:28:28
296,2024-01-14,14,new,7.5,17.76,3.3,3.8,18:42:44
297,2024-02-23,10,old,13.6,53.32,3.5,4.3,7:36:01
298,2024-02-17,10,old,5.3,79.09,3.3,3.5,2:14:59
299,2024-02-18,5,new,3.8,60.6,4.4,3.6,21:28:06
300,2024-02-25,11,new,27.2,82.76,4.9,3.9,4:39:19
301,2024-01-06,8,old,22.5,56.67,4.9,4.2,7:33:16
302,2024-01-30,20,old,33.3,5.1,3.4,4.8,16:47:41
303,2024-01-04,19,old,8.4,89.93,4.6,3.7,15:26:25
304,2024-01-10,13,old,34.4,33.61,4.4,4.4,17:24:05
305,2024-01-06,18,new,7.2,23,3.5,3.6,2:13:13
306,2024-02-09,15,new,25.3,83.18,3.8,4,22:56:24
307,2024-02-11,3,old,5.6,46.71,3.6,4.3,19:25:01
308,2024-02-09,1,new,11.1,74.65,3.5,3.9,20:19:04
309,2024-02-18,2,new,24.9,57.03,4.3,4.5,8:42:45
310,2024-01-07,2,old,13,64.83,4,4.6,19:06:46
311,2024-01-07,20,old,26.5,43.12,4.9,4.3,18:28:36
312,2024-02-10,7,old,1.3,14.81,4.3,3.8,20:30:48
313,2024-01-06,1,old,22.1,62.66,3.3,3.5,14:07:00
314,2024-02-24,13,new,11.9,87.17,3.4,4.8,14:10:21
315,2024-02-21,8,old,25,54.61,3.6,4,23:34:16
316,2024-01-28,13,new,19.1,14.88,5,4.7,21:12:05
317,2024-01-12,4,old,17.8,21.76,3,4.3,22:39:10
318,2024-02-07,8,new,20.8,40.15,4.3,4.1,6:32:19
319,2024-02-08,18,new,8.3,27.48,4.9,4.2,18:16:30
320,2024-02-28,19,new,26.2,82.38,4.7,4.3,3:59:18
321,2024-01-16,7,new,8.8,81.85,4.6,4.2,7:07:52
322,2024-02-22,4,new,25.7,79.59,3.7,4,20:27:35
323,2024-01-04,14,new,23,61.23,4.4,3.9,16:32:16
324,2024-02-20,4,new,6.5,89.08,3.2,4.7,8:18:25
325,2024-02-27,7,old,13.8,86.57,3.7,3.6,14:38:44
326,2024-01-25,17,new,14.3,13.34,4.8,3.6,0:24:34
327,2024-01-25,18,old,19.2,39.83,4.2,4.3,16:19:17
328,2024-01-29,8,old,21.1,59.82,3.8,4.2,1:38:14
329,2024-02-16,18,new,4.8,7.85,3.4,4.4,7:36:22
330,2024-02-03,10,new,34.4,23.77,3.3,3.6,23:30:18
331,2024-02-22,5,new,7,22.53,4.9,4.2,4:07:53
332,2024-02-24,20,new,13.8,59.51,3.1,5,8:57:55
333,2024-02-04,1,new,2.7,80.43,3.4,4.8,0:53:13
334,2024-01-21,8,new,19.7,41.52,3.3,4.1,2:45:06
335,2024-02-27,20,new,6.3,29.86,5,4.4,17:18:13
336,2024-01-12,1,new,17.1,8.96,4,4.4,18:34:39
337,2024-01-18,16,new,15.4,67.19,4.2,3.9,18:02:59
338,2024-02-05,18,new,5.7,27,3.7,4.2,7:04:07
339,2024-02-25,7,old,30.2,13.94,3.9,3.8,8:38:11
340,2024-01-19,4,new,25.8,77.41,3.7,4.8,11:26:55
341,2024-02-17,7,old,7,54.14,4.5,3.5,12:13:43
342,2024-02-15,10,old,4.7,24.71,4.4,4.2,7:04:59
343,2024-02-25,1,old,20.5,32.53,3.8,3.7,10:28:58
344,2024-01-26,8,old,13,75.4,3.4,4.3,20:31:21
345,2024-02-29,15,old,7.5,83.57,4.1,4,23:13:09
346,2024-02-14,7,new,29.8,24.58,4.6,4.2,3:18:10
347,2024-01-11,18,new,29.1,72.09,3.4,4.4,12:18:30
348,2024-01-25,11,old,5.8,38.89,3.4,3.9,8:37:30
349,2024-02-02,18,old,10.8,28.94,3.8,3.9,14:39:29
350,2024-02-26,14,old,31,76.86,4.2,3.8,21:12:05
351,2024-02-12,5,old,5.5,41.71,3.9,3.8,3:50:20
352,2024-01-13,1,new,31.9,23.37,3.6,3.6,7:18:35
353,2024-01-16,3,old,23.3,53.86,3.3,4.6,11:11:36
354,2024-01-03,16,old,31.6,39.59,3.3,4.5,6:48:15
355,2024-01-27,19,old,28.4,77.81,4.6,3.6,12:42:18
356,2024-02-21,7,old,19.3,28.95,4.6,4.2,0:43:44
357,2024-02-14,7,new,27.2,83.89,3.5,4.3,9:54:07
358,2024-01-10,13,old,32.3,23.84,4.7,3.5,19:52:01
359,2024-02-21,18,old,34.6,47.46,4.4,4.4,13:23:41
360,2024-01-13,15,old,20.9,25.41,3.7,3.9,6:28:28
361,2024-02-27,2,new,17.8,10.95,3.8,3.5,10:35:37
362,2024-02-15,5,old,32.2,75.97,4.7,4.6,6:56:56
363,2024-01-16,1,old,27.3,73.89,4.3,4.1,19:46:42
364,2024-01-26,9,new,23,57.24,3.9,4.8,20:16:53
365,2024-01-06,18,new,12.6,57.11,4,4,3:18:48
366,2024-02-11,15,new,26.2,45,4.3,4.5,10:34:42
367,2024-02-13,5,old,31.9,7.59,4.3,4.6,5:58:08
368,2024-01-10,16,old,20.5,50.23,4.4,3.9,23:07:32
369,2024-01-02,7,old,28.3,74.66,3.1,3.6,15:41:56
370,2024-01-06,18,new,26.8,47.64,5,4.9,12:40:37
371,2024-01-29,15,old,5.3,25.91,4.3,3.8,15:28:25
372,2024-02-10,3,old,21.6,64.17,3.6,3.7,4:53:46
373,2024-01-26,11,old,5.8,88.59,3.6,3.8,7:37:20
374,2024-01-28,5,new,28.4,30.78,3.6,4.4,21:24:00
375,2024-01-09,12,old,25.7,77.43,3.6,3.9,11:16:34
376,2024-02-28,19,new,20.9,38.85,3.1,3.7,17:41:58
377,2024-01-12,11,new,30.7,25.14,3.6,4.7,7:53:52
378,2024-02-05,16,new,28,21.37,4.8,5,8:44:54
379,2024-02-21,10,old,9.1,17.46,4,3.6,0:37:57
380,2024-01-26,9,old,26,37.43,4.9,4.3,22:58:50
381,2024-01-31,16,new,10.9,54.03,4.9,3.9,23:32:49
382,2024-01-20,12,old,34.1,37.3,4.9,4.7,19:11:39
383,2024-02-06,6,new,18.2,36.2,4.7,4.6,14:08:07
384,2024-01-25,7,old,22.3,20.11,5,3.7,5:04:21
385,2024-02-13,2,old,24,34.83,4.5,4.3,21:15:01
386,2024-01-29,13,old,24.9,58.88,4,3.7,10:55:55
387,2024-02-04,7,new,27.7,49.65,4.9,4.9,13:14:16
388,2024-02-19,2,old,34.9,50.41,4.6,4.2,13:04:51
389,2024-01-31,6,old,15.5,30.77,3.9,4.7,0:42:25
390,2024-01-24,17,new,26.1,39.89,4.9,3.9,15:42:52
391,2024-01-05,9,new,24.3,16.7,3.5,4.6,21:05:42
392,2024-01-15,3,new,8.3,56.62,4.9,3.7,1:07:06
393,2024-02-17,1,old,8.7,61.75,4.3,4.7,5:07:11
394,2024-01-10,7,old,9.9,53.11,3.1,3.7,11:21:51
395,2024-02-10,12,old,4,56.81,4.7,4.6,15:39:43
396,2024-02-12,2,new,16.1,17.21,3.2,4.2,8:09:12
397,2024-02-15,7,old,27.9,51.06,4.4,4.7,20:52:53
398,2024-02-13,12,new,7.9,69.02,3.8,4.9,17:34:27
399,2024-02-26,9,old,22.8,52.74,4.8,4.5,16:19:02
400,2024-01-19,9,new,26.7,88.9,3.5,3.5,4:37:38
401,2024-01-14,14,new,24.6,21.3,3.6,4.1,19:31:06
402,2024-01-16,18,new,26.6,19.02,4.4,4.2,23:12:55
403,2024-01-02,9,old,28.8,24.37,3.7,4.7,13:52:23
404,2024-01-10,12,new,4.5,30.77,3.9,4.8,3:57:28
